% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.000214285	1	0	0	3.65162e-13	769.83	0
0.000214285	1	0	0	1.62406e-13	342.382	0
0.000214285	1	0	0	1.22765e-12	2588.11	0
0.000214285	1	0	0	2.47554e-13	521.891	0
0.000214285	1	0	0	2.19326e-13	462.379	0
0.000214285	1	0	0	1.07128e-13	225.847	0
0.000214285	1	0	0	4.84166e-13	1020.71	0
0.000214285	1	0	0	4.98835e-13	1051.64	0
0.000214285	1	0	0	4.05645e-13	855.175	0
0.000214285	1	0	0	5.3856e-13	1135.39	0
0.000214285	1	0	0	5.76705e-13	1215.8	0
0.000214285	1	0	0	6.84405e-13	1442.85	0
0.00121429	1	0	0	3.65159e-13	769.823	0
0.00121429	1	0	0	1.62407e-13	342.383	0
0.00121429	1	0	0	1.22763e-12	2588.07	0
0.00121429	1	0	0	2.47552e-13	521.886	0
0.00121429	1	0	0	2.19326e-13	462.38	0
0.00121429	1	0	0	1.07129e-13	225.847	0
0.00121429	1	0	0	4.84168e-13	1020.72	0
0.00121429	1	0	0	4.98839e-13	1051.64	0
0.00121429	1	0	0	4.05644e-13	855.172	0
0.00121429	1	0	0	5.38565e-13	1135.39	0
0.00121429	1	0	0	5.76712e-13	1215.81	0
0.00121429	1	0	0	6.84399e-13	1442.84	0
0.00221428	1	0	0	3.65156e-13	769.817	0
0.00221428	1	0	0	1.62407e-13	342.384	0
0.00221428	1	0	0	1.22761e-12	2588.04	0
0.00221428	1	0	0	2.4755e-13	521.881	0
0.00221428	1	0	0	2.19326e-13	462.381	0
0.00221428	1	0	0	1.07129e-13	225.848	0
0.00221428	1	0	0	4.8417e-13	1020.72	0
0.00221428	1	0	0	4.98843e-13	1051.65	0
0.00221428	1	0	0	4.05642e-13	855.168	0
0.00221428	1	0	0	5.38569e-13	1135.4	0
0.00221428	1	0	0	5.76718e-13	1215.83	0
0.00221428	1	0	0	6.84394e-13	1442.83	0
0.00321428	1	0	0	3.65153e-13	769.811	0
0.00321428	1	0	0	1.62407e-13	342.385	0
0.00321428	1	0	0	1.2276e-12	2588	0
0.00321428	1	0	0	2.47548e-13	521.877	0
0.00321428	1	0	0	2.19327e-13	462.382	0
0.00321428	1	0	0	1.07129e-13	225.848	0
0.00321428	1	0	0	4.84173e-13	1020.73	0
0.00321428	1	0	0	4.98847e-13	1051.66	0
0.00321428	1	0	0	4.0564e-13	855.165	0
0.00321428	1	0	0	5.38574e-13	1135.41	0
0.00321428	1	0	0	5.76725e-13	1215.84	0
0.00321428	1	0	0	6.84388e-13	1442.82	0
0.00421428	1	0	0	3.6515e-13	769.804	0
0.00421428	1	0	0	1.62408e-13	342.386	0
0.00421428	1	0	0	1.22758e-12	2587.96	0
0.00421428	1	0	0	2.47546e-13	521.872	0
0.00421428	1	0	0	2.19327e-13	462.383	0
0.00421428	1	0	0	1.0713e-13	225.849	0
